strategy,unique_a,unique_b,pairs,matches,collisions_a,collisions_b,match_rate,collision_rate
V1_fullHash,51,101,21,0,0,0,0.00,0.00
V1_shortHash,51,101,21,0,0,0,0.00,0.00
V2_fullSeq,20,42,21,1,35,69,4.76,167.74
V2_noCalls,15,36,21,1,40,75,4.76,225.49
V2_prefix8,8,10,14,5,44,91,35.71,750.00
V2_prefix12,10,13,16,5,42,91,31.25,578.26
V2_prefix16,13,23,19,2,41,84,10.53,347.22
V2_prefix20,15,27,19,2,39,81,10.53,285.71
V2_p8+body,8,10,12,10,46,109,83.33,861.11
V2_p12+body,10,13,8,8,44,107,100.00,656.52
V2_p16+body,13,23,2,2,41,100,100.00,391.67
