binary,addr,name,category,auto,body_size,instrs,callers,callees,calls_named,called_by_named,hash,hash_bytes,failure
d2d1.dll,0x180001010,func_pdata_0x180001010,func_pdata_,Y,1f,6,0,0,N,N,0x44e9ba83d7456896,32,missing_knowledge
d2d1.dll,0x180001030,func_pdata_0x180001030,func_pdata_,Y,18,5,0,0,N,N,0x66dbc2207460b851,32,missing_knowledge
d2d1.dll,0x180001050,func_pdata_0x180001050,func_pdata_,Y,1f,6,0,0,N,N,0x5578eb8670b90d34,32,missing_knowledge
d2d1.dll,0x1800010a0,func_data_0x6442455200,func_data_,Y,0,0,0,0,N,N,0xea0631d2348994e8,32,discovery_failure
d2d1.dll,0x1800010e0,func_data_0x6442455264,func_data_,Y,0,0,0,0,N,N,0x4f4a8905a4b72c66,32,discovery_failure
d2d1.dll,0x1800010f0,func_data_0x6442455280,func_data_,Y,0,0,0,0,N,N,0xd3b3a83826a2d438,32,discovery_failure
d2d1.dll,0x180001150,func_start_0x180001150,func_start_,Y,b,2,0,0,N,N,0xdcbe602a4e9e6fd5,32,missing_knowledge
d2d1.dll,0x180001160,func_start_0x180001160,func_start_,Y,b,2,0,0,N,N,0xc75cc42d45477555,32,missing_knowledge
d2d1.dll,0x180001170,func_start_0x180001170,func_start_,Y,b,2,0,0,N,N,0xdef6b70ec0093ad5,32,missing_knowledge
d2d1.dll,0x180001180,func_start_0x180001180,func_start_,Y,b,2,0,0,N,N,0xecd5c4609c1ecc4f,32,missing_knowledge
d2d1.dll,0x180001190,func_data_0x6442455440,func_data_,Y,0,0,0,0,N,N,0xabfb8a908d872498,32,discovery_failure
d2d1.dll,0x1800011b0,func_data_0x6442455472,func_data_,Y,0,0,0,0,N,N,0xbf618a70b7a1612a,32,discovery_failure
d2d1.dll,0x1800011d0,func_data_0x6442455504,func_data_,Y,0,0,0,0,N,N,0x62a80f7dddd97b68,32,discovery_failure
d2d1.dll,0x1800011f0,func_data_0x6442455536,func_data_,Y,0,0,0,0,N,N,0x5decbc5593604eba,32,discovery_failure
d2d1.dll,0x180001210,func_data_0x6442455568,func_data_,Y,0,0,0,0,N,N,0x075f13c891b621b7,32,discovery_failure
d2d1.dll,0x180001230,func_data_0x6442455600,func_data_,Y,0,0,0,0,N,N,0x30eb7a8796a810eb,32,discovery_failure
d2d1.dll,0x180001260,func_data_0x6442455648,func_data_,Y,0,0,0,0,N,N,0x3de102b610ec1279,32,discovery_failure
d2d1.dll,0x180001280,func_data_0x6442455680,func_data_,Y,0,0,0,0,N,N,0x8cd0a03b25018620,32,discovery_failure
d2d1.dll,0x1800012a0,func_data_0x6442455712,func_data_,Y,0,0,0,0,N,N,0xefd9cf7c2b951716,32,discovery_failure
d2d1.dll,0x1800012c0,func_data_0x6442455744,func_data_,Y,0,0,0,0,N,N,0x3a084226b9173331,32,discovery_failure
d2d1.dll,0x1800012e0,func_data_0x6442455776,func_data_,Y,0,0,0,0,N,N,0xd239956934b06e59,32,discovery_failure
d2d1.dll,0x180001300,func_data_0x6442455808,func_data_,Y,0,0,0,0,N,N,0xed96f00d368a4225,32,discovery_failure
d2d1.dll,0x180001420,func_data_0x6442456096,func_data_,Y,0,0,0,0,N,N,0xe3c0d69289e96443,32,discovery_failure
d2d1.dll,0x180001440,func_data_0x6442456128,func_data_,Y,0,0,0,0,N,N,0x877eb1acdfc29fa3,32,discovery_failure
d2d1.dll,0x180001450,func_pdata_0x180001450,func_pdata_,Y,395,bb,0,0,N,N,0x68c4559bd42f6e49,32,missing_knowledge
d2d1.dll,0x1800017f0,func_pdata_0x1800017f0,func_pdata_,Y,5d,17,0,0,N,N,0x9946edd7d8daffe1,32,missing_knowledge
d2d1.dll,0x180001850,func_data_0x6442457168,func_data_,Y,0,0,0,0,N,N,0x94c01b230bf4a46d,32,discovery_failure
d2d1.dll,0x180001860,func_pdata_0x180001860,func_pdata_,Y,3c,d,0,0,N,N,0x35aa9fba27fb94eb,32,missing_knowledge
d2d1.dll,0x1800018a0,func_pdata_0x1800018a0,func_pdata_,Y,35,c,0,0,N,N,0xbbcc5608b0f9eff3,32,missing_knowledge
d2d1.dll,0x1800018e0,func_pdata_0x1800018e0,func_pdata_,Y,f5,37,0,0,N,N,0x9946edd7d8daffe1,32,missing_knowledge
d2d1.dll,0x1800019e0,func_data_0x6442457568,func_data_,Y,0,0,0,0,N,N,0x28747def1b6687a1,32,discovery_failure
