"binary","addr","name","category","auto","body_size","instrs","callers","callees","calls_named","called_by_named","hash","hash_bytes","failure"
"kernel32.dll","0x180001010","func_pdata_0x180001010","func_pdata_","Y","42","e","0","0","N","N","0x60640a764f15783b","32","missing_knowledge"
"kernel32.dll","0x180001060","func_jmp_0x180001060","func_jmp_","Y","4","1","0","0","N","N","0x6c5539f657f8242b","32","missing_knowledge"
"kernel32.dll","0x180001070","func_data_0x6442455152","func_data_","Y","0","0","0","0","N","N","0xb764858d0340c961","32","discovery_failure"
"kernel32.dll","0x180001090","func_data_0x6442455184","func_data_","Y","0","0","0","0","N","N","0x97e3f4b46799a75c","32","discovery_failure"
"kernel32.dll","0x1800010b0","func_data_0x6442455216","func_data_","Y","0","0","0","0","N","N","0xbfa201d9df610449","32","discovery_failure"
"kernel32.dll","0x1800010e0","func_data_0x6442455264","func_data_","Y","0","0","0","0","N","N","0x7aac5c2f09e94adf","32","discovery_failure"
"kernel32.dll","0x180001100","func_data_0x6442455296","func_data_","Y","0","0","0","0","N","N","0x4fe0f082af38af6f","32","discovery_failure"
"kernel32.dll","0x180001114","func_pdata_0x180001114","func_pdata_","Y","92","25","1","0","N","N","0xd188826f840c5ef1","32","missing_knowledge"
"kernel32.dll","0x1800011b0","func_pdata_0x1800011b0","func_pdata_","Y","8c","24","1","0","N","N","0xcaf24b59ef04755a","32","missing_knowledge"
"kernel32.dll","0x180001250","func_data_0x6442455632","func_data_","Y","0","0","0","0","N","N","0xb93ebd5d1202828e","32","discovery_failure"
"kernel32.dll","0x180001253","func_jmp_0x180001253","func_jmp_","Y","4","1","0","0","N","N","0x76f7174dbc6ecad8","32","missing_knowledge"
"kernel32.dll","0x180001270","func_data_0x6442455664","func_data_","Y","0","0","0","0","N","N","0xa44ec4196345f5d2","32","discovery_failure"
"kernel32.dll","0x180001290","func_pdata_0x180001290","func_pdata_","Y","123","4a","0","0","N","N","0xcadde7e3ded52e40","32","missing_knowledge"
"kernel32.dll","0x1800013b4","func_pdata_0x1800013b4","func_pdata_","Y","3b","9","1","0","N","N","0x04aa885cc4a8e20c","32","missing_knowledge"
"kernel32.dll","0x1800013f0","func_pdata_0x1800013f0","func_pdata_","Y","3b9","c2","1","0","N","N","0xc4c62f11f87ed890","32","missing_knowledge"
"kernel32.dll","0x1800017aa","func_pdata_0x1800017aa","func_pdata_","Y","c","2","2","0","N","N","0x5407732af6f0e6c6","32","missing_knowledge"
"kernel32.dll","0x1800017b7","func_pdata_0x1800017b7","func_pdata_","Y","4fa","10a","1","0","N","N","0x49a0733c9107479d","32","missing_knowledge"
"kernel32.dll","0x180001cb2","func_pdata_0x180001cb2","func_pdata_","Y","6d","13","1","0","N","N","0xc6a68f9b9c084540","32","missing_knowledge"
"kernel32.dll","0x180001d20","func_pdata_0x180001d20","func_pdata_","Y","230","36","2","0","N","N","0x306a14ceccb920f1","32","missing_knowledge"
"kernel32.dll","0x180001f51","func_pdata_0x180001f51","func_pdata_","Y","f","4","1","0","N","N","0xc873b9a95bee19a1","32","missing_knowledge"
"kernel32.dll","0x180001f61","func_pdata_0x180001f61","func_pdata_","Y","696","112","1","0","N","N","0xace6564331a92680","32","missing_knowledge"
"kernel32.dll","0x180002600","func_call_0x180002600","func_call_","Y","9a","39","8","0","N","N","0xbd31b072aedda08c","32","missing_knowledge"
"kernel32.dll","0x1800026a4","func_call_0x1800026a4","func_call_","Y","18","9","e","0","N","N","0x038c4bbbde7fde73","32","missing_knowledge"
"kernel32.dll","0x1800026d4","func_pdata_0x1800026d4","func_pdata_","Y","63","21","e","0","N","N","0x89c761c2386448dd","32","missing_knowledge"
"kernel32.dll","0x180002740","func_pdata_0x180002740","func_pdata_","Y","80","1e","0","0","N","N","0x33764471f1736c4b","32","missing_knowledge"
"kernel32.dll","0x1800027c1","func_pdata_0x1800027c1","func_pdata_","Y","4e4","13b","0","0","N","N","0xa8ecb0e949a3fcd0","32","missing_knowledge"
"kernel32.dll","0x180002ca6","func_pdata_0x180002ca6","func_pdata_","Y","1f","b","1","0","N","N","0xe68e4c7c605b225b","32","missing_knowledge"
"kernel32.dll","0x180002cc6","func_pdata_0x180002cc6","func_pdata_","Y","638","18e","1","0","N","N","0xb04ee3df91165f65","32","missing_knowledge"
"kernel32.dll","0x180003310","func_pdata_0x180003310","func_pdata_","Y","52","15","0","0","N","N","0x75bd70c659076e8e","32","missing_knowledge"
"kernel32.dll","0x180003363","func_pdata_0x180003363","func_pdata_","Y","43","14","0","0","N","N","0xcb308c13035b15f0","32","missing_knowledge"
"kernel32.dll","0x1800033a7","func_pdata_0x1800033a7","func_pdata_","Y","174","53","0","0","N","N","0x86b44166a0485e2f","32","missing_knowledge"
"kernel32.dll","0x18000351c","func_pdata_0x18000351c","func_pdata_","Y","7","1","1","0","N","N","0xb57df7f17192e182","32","missing_knowledge"
"kernel32.dll","0x180003524","func_pdata_0x180003524","func_pdata_","Y","19","9","1","0","N","N","0xf4ae8b728dff0b27","32","missing_knowledge"
"kernel32.dll","0x18000353e","func_pdata_0x18000353e","func_pdata_","Y","64","1a","1","0","N","N","0xce62d1418c62a87b","32","missing_knowledge"
"kernel32.dll","0x1800035a3","func_pdata_0x1800035a3","func_pdata_","Y","328","c1","0","0","N","N","0x16d99b019bdb6cb0","32","missing_knowledge"
"kernel32.dll","0x1800038cc","func_pdata_0x1800038cc","func_pdata_","Y","23","7","1","0","N","N","0xf00659ca234c945b","32","missing_knowledge"
