binary,addr,name,category,auto,body_size,instrs,callers,callees,calls_named,called_by_named,hash,hash_bytes,failure
mshtml.dll,0x180001010,func_pdata_0x180001010,func_pdata_,Y,12d,36,0,0,N,N,0x48bc09ee44117240,32,missing_knowledge
mshtml.dll,0x180001140,func_data_0x6442455360,func_data_,Y,0,0,0,0,N,N,0xe9bbd578ebcbf072,32,discovery_failure
mshtml.dll,0x180001160,func_start_0x180001160,func_start_,Y,b,2,0,0,N,N,0x5f6a9efd086b4688,32,missing_knowledge
mshtml.dll,0x180001170,func_data_0x6442455408,func_data_,Y,0,0,0,0,N,N,0x28ee9baa8c88a879,32,discovery_failure
mshtml.dll,0x1800011a0,func_pdata_0x1800011a0,func_pdata_,Y,8f,13,0,0,N,N,0xf3668899693a5593,32,missing_knowledge
mshtml.dll,0x180001230,func_data_0x6442455600,func_data_,Y,0,0,0,0,N,N,0x9eb40dd52f7a7583,32,discovery_failure
mshtml.dll,0x180001260,func_data_0x6442455648,func_data_,Y,0,0,0,0,N,N,0x48f374677a87b4ea,32,discovery_failure
mshtml.dll,0x180001290,func_start_0x180001290,func_start_,Y,b,2,0,0,N,N,0xe5475dad697e3409,32,missing_knowledge
mshtml.dll,0x1800012a0,func_pdata_0x1800012a0,func_pdata_,Y,69,11,0,0,N,N,0x625bb7ad0efa9074,32,missing_knowledge
mshtml.dll,0x180001310,func_data_0x6442455824,func_data_,Y,0,0,0,0,N,N,0x208afd2890756bbb,32,discovery_failure
mshtml.dll,0x180001340,func_data_0x6442455872,func_data_,Y,0,0,0,0,N,N,0x9fd150858efa4a82,32,discovery_failure
mshtml.dll,0x180001380,func_data_0x6442455936,func_data_,Y,0,0,0,0,N,N,0xd03de4d86c727745,32,discovery_failure
mshtml.dll,0x180001390,func_data_0x6442455952,func_data_,Y,0,0,0,0,N,N,0x1e9276350752c737,32,discovery_failure
mshtml.dll,0x1800013f0,func_start_0x1800013f0,func_start_,Y,b,2,0,0,N,N,0xacc6769b4b622522,32,missing_knowledge
mshtml.dll,0x180001400,func_start_0x180001400,func_start_,Y,b,2,0,0,N,N,0x829f2a422fc2cbcc,32,missing_knowledge
mshtml.dll,0x180001410,func_data_0x6442456080,func_data_,Y,0,0,0,0,N,N,0x493fefd0df5863bc,32,discovery_failure
mshtml.dll,0x180001440,func_pdata_0x180001440,func_pdata_,Y,2f,9,0,0,N,N,0x5416fcea852da618,32,missing_knowledge
mshtml.dll,0x180001470,func_start_0x180001470,func_start_,Y,b,2,0,0,N,N,0x4cf462852f91b5fa,32,missing_knowledge
mshtml.dll,0x180001480,func_pdata_0x180001480,func_pdata_,Y,18,5,0,0,N,N,0x574ff721a57b76b8,32,missing_knowledge
mshtml.dll,0x1800014a0,func_pdata_0x1800014a0,func_pdata_,Y,1f,6,0,0,N,N,0x128957b1270d6598,32,missing_knowledge
mshtml.dll,0x1800014c0,func_pdata_0x1800014c0,func_pdata_,Y,1f,6,0,0,N,N,0x927b7b55a55ae931,32,missing_knowledge
mshtml.dll,0x180001500,func_pdata_0x180001500,func_pdata_,Y,1f,6,0,0,N,N,0x87811f9dbfe635bb,32,missing_knowledge
mshtml.dll,0x180001520,func_pdata_0x180001520,func_pdata_,Y,1f,6,0,0,N,N,0xa11697f66d5313e7,32,missing_knowledge
mshtml.dll,0x180001540,func_jmp_0x180001540,func_jmp_,Y,4,1,0,0,N,N,0x05087862abbd3ff5,32,missing_knowledge
mshtml.dll,0x180001550,func_start_0x180001550,func_start_,Y,b,2,0,0,N,N,0xc500bf85725e8d65,32,missing_knowledge
mshtml.dll,0x180001560,func_start_0x180001560,func_start_,Y,b,2,0,0,N,N,0xc10ace67331110d5,32,missing_knowledge
mshtml.dll,0x180001570,func_start_0x180001570,func_start_,Y,b,2,0,0,N,N,0x11cdfc62f02a7f75,32,missing_knowledge
mshtml.dll,0x180001580,func_start_0x180001580,func_start_,Y,b,2,0,0,N,N,0x79371bb72e1c5311,32,missing_knowledge
mshtml.dll,0x180001590,func_pdata_0x180001590,func_pdata_,Y,1f,6,0,0,N,N,0x841b7a0aee58da36,32,missing_knowledge
mshtml.dll,0x1800015e0,func_start_0x1800015e0,func_start_,Y,b,2,0,0,N,N,0x09c394d454c366a2,32,missing_knowledge
mshtml.dll,0x1800015f0,func_pdata_0x1800015f0,func_pdata_,Y,46bd,a23,0,0,N,N,0xe2658ba3d0a4fa05,32,missing_knowledge
mshtml.dll,0x180005cb0,func_jmp_0x180005cb0,func_jmp_,Y,4,1,0,0,N,N,0x8dc11b413ffb3366,32,missing_knowledge
mshtml.dll,0x180005cc0,func_start_0x180005cc0,func_start_,Y,b,2,0,0,N,N,0x3da7461188ec4869,32,missing_knowledge
mshtml.dll,0x180005cd0,func_data_0x6442474704,func_data_,Y,0,0,0,0,N,N,0x4323b4511fd01299,32,discovery_failure
mshtml.dll,0x180005ce0,func_data_0x6442474720,func_data_,Y,0,0,0,0,N,N,0xd171aa17d8f562c9,32,discovery_failure
