binary,addr,name,category,auto,body_size,instrs,callers,callees,calls_named,called_by_named,hash,hash_bytes,failure
shell32.dll,0x180001008,func_pdata_0x180001008,func_pdata_,Y,39f,f4,1,0,N,N,0xdde08c9f85fb960e,32,missing_knowledge
shell32.dll,0x1800013b0,func_pdata_0x1800013b0,func_pdata_,Y,173,61,1,0,N,N,0x733ffd6f6376e5cb,32,missing_knowledge
shell32.dll,0x18000152c,func_pdata_0x18000152c,func_pdata_,Y,107,46,1,0,N,N,0x3a526052bb70bb61,32,missing_knowledge
shell32.dll,0x18000163c,func_pdata_0x18000163c,func_pdata_,Y,79,19,5,0,N,N,0x69bde5c19a385bea,32,missing_knowledge
shell32.dll,0x1800016bc,func_pdata_0x1800016bc,func_pdata_,Y,c3,2e,1,0,N,N,0xa8aca1f2666c71fc,32,missing_knowledge
shell32.dll,0x180001788,func_pdata_0x180001788,func_pdata_,Y,126,36,1,0,N,N,0xfc8c8aaf717f7dc1,32,missing_knowledge
shell32.dll,0x1800018b8,func_pdata_0x1800018b8,func_pdata_,Y,c3,2e,1,0,N,N,0x3943ed82e6fd0782,32,missing_knowledge
shell32.dll,0x180001984,func_pdata_0x180001984,func_pdata_,Y,f3,37,3,0,N,N,0x1154e3825b20f848,32,missing_knowledge
shell32.dll,0x180001a80,func_pdata_0x180001a80,func_pdata_,Y,104,3a,2,0,N,N,0x7ce371110a41b8ec,32,missing_knowledge
shell32.dll,0x180001b8c,func_pdata_0x180001b8c,func_pdata_,Y,311,ca,1,0,N,N,0x11475a6ae11551d5,32,missing_knowledge
shell32.dll,0x180001ea4,func_pdata_0x180001ea4,func_pdata_,Y,d5,33,1,0,N,N,0xd3cee26c0b9902ec,32,missing_knowledge
shell32.dll,0x180001f80,func_start_0x180001f80,func_start_,Y,b,2,0,0,N,N,0x46b37f6e6a23e269,32,missing_knowledge
shell32.dll,0x180001f90,func_pdata_0x180001f90,func_pdata_,Y,14,5,0,0,N,N,0x75e9201665b008ce,32,missing_knowledge
shell32.dll,0x180001fb0,func_data_0x6442459056,func_data_,Y,0,0,0,0,N,N,0xcd21704db4054e54,32,discovery_failure
shell32.dll,0x180001ff0,func_data_0x6442459120,func_data_,Y,0,0,0,0,N,N,0x6f0bd1bfe428a88d,32,discovery_failure
shell32.dll,0x180002020,func_data_0x6442459168,func_data_,Y,0,0,0,0,N,N,0x497d78bd3df89349,32,discovery_failure
shell32.dll,0x180002040,func_data_0x6442459200,func_data_,Y,0,0,0,0,N,N,0xbeb67cfd6d28716f,32,discovery_failure
shell32.dll,0x1800020b0,func_start_0x1800020b0,func_start_,Y,b,2,0,0,N,N,0x425b738129adcb21,32,missing_knowledge
shell32.dll,0x1800020c0,func_start_0x1800020c0,func_start_,Y,b,2,0,0,N,N,0xa66bb216ed3bd181,32,missing_knowledge
shell32.dll,0x1800020d0,func_start_0x1800020d0,func_start_,Y,b,2,0,0,N,N,0x50ca793ccc329551,32,missing_knowledge
shell32.dll,0x1800020e0,func_start_0x1800020e0,func_start_,Y,b,2,0,0,N,N,0x079aef5f8773fa7a,32,missing_knowledge
shell32.dll,0x1800020f0,func_start_0x1800020f0,func_start_,Y,b,2,0,0,N,N,0xb39db52ecea0c8cd,32,missing_knowledge
shell32.dll,0x180002100,func_start_0x180002100,func_start_,Y,b,2,0,0,N,N,0xa5e2260aec12e22d,32,missing_knowledge
shell32.dll,0x180002110,func_start_0x180002110,func_start_,Y,b,2,0,0,N,N,0x9813d8276d4feccd,32,missing_knowledge
shell32.dll,0x180002120,func_start_0x180002120,func_start_,Y,b,2,0,0,N,N,0xd8af94cfb8a2f6ed,32,missing_knowledge
shell32.dll,0x180002130,func_start_0x180002130,func_start_,Y,0,1,0,0,N,N,0x35c58f17a70f783c,32,missing_knowledge
shell32.dll,0x180002138,func_data_0x6442459448,func_data_,Y,0,0,0,0,N,N,0x9aa4ba8108583e2b,32,discovery_failure
shell32.dll,0x180002140,func_pdata_0x180002140,func_pdata_,Y,18,5,0,0,N,N,0x91ac23fe666dc2da,32,missing_knowledge
shell32.dll,0x180002160,func_pdata_0x180002160,func_pdata_,Y,18,5,0,0,N,N,0xbb2500f98d79f327,32,missing_knowledge
shell32.dll,0x180002180,func_pdata_0x180002180,func_pdata_,Y,18,5,0,0,N,N,0x85318e9e1b6ac8ca,32,missing_knowledge
shell32.dll,0x1800021a0,func_pdata_0x1800021a0,func_pdata_,Y,18,5,0,0,N,N,0x28ba31db17522a5f,32,missing_knowledge
