strategy,unique_a,unique_b,pairs,matches,collisions_a,collisions_b,match_rate,collision_rate
V1_fullHash,776,3132,457758,37,0,0,0.01,0.00
V1_shortHash,776,3132,457758,37,0,0,0.01,0.00
V2_fullSeq,286,3140,345144,27,35,0,0.01,1.02
V2_noCalls,274,3114,341745,34,43,0,0.01,1.27
V2_prefix8,19,39,155,19,48,4,12.26,89.66
V2_prefix12,111,1002,51798,70,46,4,0.14,4.49
V2_prefix16,180,2484,232549,51,43,4,0.02,1.76
V2_prefix20,206,3103,327396,31,42,2,0.01,1.33
V2_p8+body,19,39,230525,23785,809,3530,10.32,7481.03
V2_p12+body,111,1002,71120,2421,735,2835,3.40,320.75
V2_p16+body,180,2484,48260,282,655,1374,0.58,76.16
