strategy,unique_a,unique_b,pairs,matches,collisions_a,collisions_b,match_rate,collision_rate
V1_fullHash,776,1966,376727,13,0,0,0.00,0.00
V1_shortHash,776,1966,376727,13,0,0,0.00,0.00
V2_fullSeq,286,1586,167241,22,35,70,0.01,5.61
V2_noCalls,274,1538,160925,20,43,78,0.01,6.68
V2_prefix8,19,32,142,21,48,97,14.79,284.31
V2_prefix12,111,565,29837,52,46,98,0.17,21.30
V2_prefix16,180,1167,99299,31,43,98,0.03,10.47
V2_prefix20,206,1479,141564,22,42,85,0.02,7.54
V2_p8+body,19,32,254138,45705,809,2065,17.98,5635.29
V2_p12+body,111,565,146471,25589,735,1684,17.47,357.84
V2_p16+body,180,1167,20668,13111,655,1074,63.44,128.36
