strategy,unique_a,unique_b,pairs,matches,collisions_a,collisions_b,match_rate,collision_rate
V1_fullHash,1966,5208,5257127,62,0,0,0.00,0.00
V1_shortHash,1966,5208,5257127,62,0,0,0.00,0.00
V2_fullSeq,1586,5750,4911119,82,70,33,0.00,1.40
V2_noCalls,1538,5504,4517653,104,78,35,0.00,1.60
V2_prefix8,32,31,208,36,97,59,17.31,247.62
V2_prefix12,565,1280,352209,207,98,57,0.06,8.40
V2_prefix16,1167,4033,2595854,171,98,53,0.01,2.90
V2_prefix20,1479,5532,4698833,109,85,45,0.00,1.85
V2_p8+body,32,31,1072931,267482,2065,7001,24.93,14390.48
V2_p12+body,565,1280,113633,53402,1684,6200,47.00,427.32
V2_p16+body,1167,4033,11315,6204,1074,3628,54.83,90.42
